教育招生考试院上面给的招生信息/选考信息网址,,三种编号也不知道是啥,,,所在地区,,,办学层次,,找不到名称的话这边有2020年和2024年招生用的学校名,
北京信息科技大学,https://zhaosheng.bistu.edu.cn/,4111011232,11232,B232,北京市,北京,北京市,本科,,北京信息科技大学,北京信息科技大学
中国矿业大学(北京),http://zb.cumtb.edu.cn,4111011413,11413,B413,教育部,北京,北京市,本科,,中国矿业大学(北京),中国矿业大学(北京)
中国石油大学(北京),https://bkzs.cup.edu.cn/,4111011414,11414,B414,教育部,北京,北京市,本科,,中国石油大学(北京),中国石油大学(北京)
中国地质大学(北京),https://zhsh.cugb.edu.cn,4111011415,11415,B415,教育部,北京,北京市,本科,,中国地质大学(北京),中国地质大学(北京)
北京联合大学,https://zsxx.buu.edu.cn,4111011417,11417,B417,北京市,北京,北京市,本科,,北京联合大学,北京联合大学
北京城市学院,http://zs.bcu.edu.cn/,4111011418,11418,B418,北京市教委,北京,北京市,本科,民办,北京城市学院,北京城市学院
首钢工学院,http://www.sgit.edu.cn/,4111011831,11831,,北京市,北京,北京市,本科,,,
北京农业职业学院,https://www.bvca.edu.cn/zsw/,4111012448,12448,,北京市,北京,北京市,专科,,,
北京政法职业学院,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc.do,4111012451,12451,,北京市,北京,北京市,专科,,,
中国劳动关系学院,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1068.dhtml,4111012453,12453,C453,中华全国总工会,北京,北京市,本科,,中国劳动关系学院,中国劳动关系学院
北京财贸职业学院,www.bjczy.edu.cn,4111012561,12561,,北京市,北京,北京市,专科,,,
北京北大方正软件职业技术学院,www.pfc.edu.cn,4111012564,12564,,北京市教委,北京,北京市,专科,民办,,
北京经贸职业学院,www.csuedu.com,4111012565,12565,,北京市教委,北京,北京市,专科,民办,,
北京戏曲艺术职业学院,http://www.bjxx.com.cn/,4111012567,12567,,北京市,北京,北京市,专科,,,
北京汇佳职业学院,www.hju.net.cn,4111012568,12568,,北京市教委,北京,北京市,专科,民办,,
北京科技经营管理学院,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1215.dhtml,4111012733,12733,,北京市教委,北京,北京市,专科,民办,,
首都师范大学科德学院,http://www.kdcnu.com,4111013629,13629,,北京市教委,北京,北京市,本科,民办,,
北京工商大学嘉华学院,http://zsb.canvard.net.cn/,4111013630,13630,,北京市教委,北京,北京市,本科,民办,,
北京科技职业学院,www.5aaa.com,4111013703,13703,,北京市教委,北京,北京市,专科,民办,,
北京培黎职业学院,http://www.bjpldx.edu.cn/,4111013728,13728,,北京市教委,北京,北京市,专科,民办,,
北京邮电大学世纪学院,zhaoban.ccbupt.cn,4111013901,13901,D901,北京市教委,北京,北京市,本科,民办,北京邮电大学世纪学院,
北京工业大学耿丹学院,http://zs.gengdan.cn/bgd152,4111013904,13904,D904,北京市教委,北京,北京市,本科,民办,北京工业大学耿丹学院,北京工业大学耿丹学院
北京交通职业技术学院,http://www.jtxy.com.cn,4111011092,13910,,北京市,北京,北京市,专科,,,
北京经济管理职业学院,www.biem.edu.cn,4111014073,14073,,北京市,北京,北京市,专科,,,
北京劳动保障职业学院,www.bvclss.cn,4111014075,14075,,北京市,北京,北京市,专科,,,
北京社会管理职业学院,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc.do?method=listInfoByYxmc&yxmc=北京社会管理职业学院,4111014139,14139,E139,北京市,北京,北京市,专科,,民政职业大学,北京社会管理职业学院
北京艺术传媒职业学院,http://www.bjamu.cn,4111014140,14140,,北京市教委,北京,北京市,专科,民办,,
北京第二外国语学院中瑞酒店管理学院,http://www.bhi.edu.cn/122/list/tw.html,4111014201,14201,E201,北京市教委,北京,北京市,本科,民办,北京第二外国语学院中瑞酒店管理学院,
北京体育职业学院,https://gaokao.chsi.com.cn,4111014215,14215,,北京市,北京,北京市,专科,,,
北京交通运输职业学院,http://www.bjjt.edu.cn,4111014279,14279,,北京市,北京,北京市,专科,,,
中国科学院大学,http://admission.ucas.edu.cn/,4111014430,14430,E430,中国科学院,北京,北京市,本科,,中国科学院大学,中国科学院大学
中国社会科学院大学,https://skdzs.ucass.edu.cn/bkzs1/zsjz.htm,4111014596,14596,E596,中国社会科学院,北京,北京市,本科,,中国社会科学院大学,中国社会科学院大学
北京大学医学部,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-6405527.dhtml,,19001,H001,,北京,,,,北京大学医学部,北京大学医学部
北京邮电大学(宏福校区),https://zsb.bupt.edu.cn/,,19013,H013,,北京,,,,北京邮电大学(宏福校区),北京邮电大学(宏福校区)
陆军装甲兵学院,无,,91006,P006,,北京,,,,陆军装甲兵学院,
陆军防化学院,无,,91011,P011,,北京,,,,陆军防化学院,
战略支援部队航天工程大学,无,,91036,P036,,北京,,,,战略支援部队航天工程大学,
武警特种警察学院,无,,91041,P041,,北京,,,,武警特种警察学院,
南开大学,https://zsb.nankai.edu.cn/,4112010055,10055,A055,教育部,天津,天津市,本科,,南开大学,南开大学
天津大学,http://zs.tju.edu.cn/,4112010056,10056,A056,教育部,天津,天津市,本科,,天津大学,天津大学
天津科技大学,https://zsb.tust.edu.cn/,4112010057,10057,A057,天津市,天津,天津市,本科,,天津科技大学,天津科技大学
天津工业大学,http://zsb.tiangong.edu.cn,4112010058,10058,A058,天津市,天津,天津市,本科,,天津工业大学,天津工业大学
中国民航大学,www.cauc.edu.cn/zsb,4112010059,10059,A059,交通运输部(中国民用航空局),天津,天津市,本科,,中国民航大学,中国民航大学
天津理工大学,http://zsb.tjut.edu.cn/,4112010060,10060,A060,天津市,天津,天津市,本科,,天津理工大学,天津理工大学
天津农学院,http://zjb.tjau.edu.cn/zsw.htm,4112010061,10061,A061,天津市,天津,天津市,本科,,天津农学院,天津农学院
天津医科大学,http://www.tmu.edu.cn/bkzs,4112010062,10062,A062,天津市,天津,天津市,本科,,天津医科大学,天津医科大学
天津中医药大学,https://zsjy.tjutcm.edu.cn/info/1005/4095.htm,4112010063,10063,A063,天津市,天津,天津市,本科,,天津中医药大学,天津中医药大学
天津师范大学,http://zsb.tjnu.edu.cn/,4112010065,10065,A065,天津市,天津,天津市,本科,,天津师范大学,天津师范大学
天津职业技术师范大学,http://zb.tute.edu.cn/,4112010066,10066,A066,天津市,天津,天津市,本科,,天津职业技术师范大学,天津职业技术师范大学
天津外国语大学,http://zsb.tjfsu.edu.cn/,4112010068,10068,A068,天津市,天津,天津市,本科,,天津外国语大学,天津外国语大学
天津商业大学,https://zs.tjcu.edu.cn/,4112010069,10069,A069,天津市,天津,天津市,本科,,天津商业大学,天津商业大学
天津财经大学,www.tjufe.edu.cn,4112010070,10070,A070,天津市,天津,天津市,本科,,天津财经大学,天津财经大学
天津体育学院,http://zb.tjus.edu.cn/,4112010071,10071,A071,天津市,天津,天津市,本科,,天津体育学院,天津体育学院
天津音乐学院,http://www.tjcm.edu.cn/zsxx/bkzs.htm,4112010072,10072,,天津市,天津,天津市,本科,,,
天津美术学院,http://www.tjarts.edu.cn/,4112010073,10073,A073,天津市,天津,天津市,本科,,天津美术学院,
河北工业大学,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-70.dhtml,4113010080,10080,A080,河北省,天津,天津市,本科,,河北工业大学,河北工业大学
天津城建大学,http://recruit.tcu.edu.cn/,4112010792,10792,A792,天津市,天津,天津市,本科,,天津城建大学,天津城建大学
天津天狮学院,http://www.tianshi.edu.cn/,4112010859,10859,A859,天津市教委,天津,天津市,本科,民办,天津天狮学院,天津天狮学院
天津市职业大学,http://www.tjtc.edu.cn,4112011032,11032,,天津市,天津,天津市,专科,,,
天津医学高等专科学校,www.tjyzh.cn,4112012880,11908,,天津市,天津,天津市,专科,,,
天津中德应用技术大学,https://gaokao.chsi.com.cn/,4112012105,12105,C105,天津市,天津,天津市,本科,,天津中德应用技术大学,天津中德应用技术大学
天津滨海职业学院,http://www.tjbpi.com.cn/Category_369/Index.aspx,4112012484,12484,,天津市,天津,天津市,专科,,,
天津渤海职业技术学院,www.tbvtc.edu.cn,4112012719,12719,,天津市,天津,天津市,专科,,,
天津电子信息职业技术学院,www.tjdz.edu.cn,4112012720,12720,,天津市,天津,天津市,专科,,,
天津机电职业技术学院,www.suoyuan.com.cn,4112012721,12721,,天津市,天津,天津市,专科,,,
天津现代职业技术学院,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc.do,4112012722,12722,,天津市,天津,天津市,专科,,,
天津公安警官职业学院,www.tjjingyuan.cn,4112012723,12723,,天津市,天津,天津市,专科,,,
天津轻工职业技术学院,www.tjlivtc.edu.cn,4112012732,12732,,天津市,天津,天津市,专科,,,
天津商务职业学院,http://zhaosheng.tcc1955.edu.cn/,4112012788,12788,,天津市,天津,天津市,专科,,,
天津国土资源和房屋职业学院,www.tjgfxy.com.cn,4112012803,12803,,天津市,天津,天津市,专科,,,
天津艺术职业学院,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1355.dhtml,4112012882,12882,,天津市,天津,天津市,专科,,,
天津交通职业学院,http://zhaosheng.tttc.edu.cn/,4112012883,12883,,天津市,天津,天津市,专科,,,
天津外国语大学滨海外事学院,http://bhws.tjfsu.edu.cn/zsxx/,4112013658,13658,D658,天津市教委,天津,天津市,本科,民办,天津外国语大学滨海外事学院,天津外国语大学滨海外事学院
天津传媒学院,http://www.tjtwy.cn/,4112013659,13659,D659,天津市教委,天津,天津市,本科,民办,天津传媒学院,
天津商业大学宝德学院,http://zs.boustead.edu.cn/,4112013660,13660,D660,天津市教委,天津,天津市,本科,民办,天津商业大学宝德学院,天津商业大学宝德学院
天津医科大学临床医学院,http://www.tmucmc.edu.cn/zsxxw/,4112013661,13661,D661,天津市教委,天津,天津市,本科,民办,天津医科大学临床医学院,天津医科大学临床医学院
天津工业职业学院,http://www.pctj.edu.cn/,4112013700,13700,,天津市,天津,天津市,专科,,,
天津石油职业技术学院,http://zsjy.tjsyxy,4112013701,13701,,天津市,天津,天津市,专科,,,
天津城市职业学院,http://www.tjcsxy.cn/zs,4112013702,13702,,天津市,天津,天津市,专科,,,
天津铁道职业技术学院,zhao.tjtdxy.cn,4112013863,13863,,天津市,天津,天津市,专科,,,
天津师范大学津沽学院,http://jgxy.tjnu.edu.cn/zs,4112013896,13896,,天津市教委,天津,天津市,本科,民办,,
天津理工大学中环信息学院,www.tjzhic.edu.cn,4112013897,13897,D897,天津市教委,天津,天津市,本科,民办,天津理工大学中环信息学院,天津理工大学中环信息学院
北京科技大学天津学院,http://tj.ustb.edu.cn/class/zhshzhch/,4112013898,13898,D898,天津市教委,天津,天津市,本科,民办,北京科技大学天津学院,北京科技大学天津学院
天津工艺美术职业学院,www.gmtj.com,4112013911,13911,,天津市,天津,天津市,专科,,,
天津城市建设管理职业技术学院,www.tjchengjian.com,4112014020,14020,,天津市,天津,天津市,专科,,,
天津生物工程职业技术学院,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-5038392.dhtml,4112014021,14021,,天津市,天津,天津市,专科,,,
天津海运职业学院,www.tjmc.edu.cn,4112014022,14022,,天津市,天津,天津市,专科,,,
天津仁爱学院,http://www.tjrac.edu.cn/zs,4112014038,14038,,天津市教委,天津,天津市,本科,民办,,
天津财经大学珠江学院,http://zhujiang.tjufe.edu.cn/class/zsxjgl/,4112014087,14087,E087,天津市教委,天津,天津市,本科,民办,天津财经大学珠江学院,天津财经大学珠江学院
天津体育职业学院,http://zsxx.tjvcs.cn/,4112014599,14599,,天津市,天津,天津市,专科,,,
天津滨海汽车工程职业学院,www.tqzyxy.com,4112014600,14600,,天津市教委,天津,天津市,专科,民办,,
陆军军事交通学院,无,,91013,P013,,天津,,,,陆军军事交通学院,
河北大学,http://zhaoban.hbu.cn/,4113010075,10075,A075,河北省,河北,保定市,本科,,河北大学,河北大学
河北工程大学,http://zhaosheng.hebeu.edu.cn/,4113010076,10076,A076,河北省,河北,邯郸市,本科,,河北工程大学,河北工程大学
河北地质大学,http://zsxxw.hgu.edu.cn/zszc2.htm,4113010077,10077,A077,河北省,河北,石家庄市,本科,,河北地质大学,河北地质大学
华北电力大学(保定),http://zhaosheng.ncepu.edu.cn/zs/Index.aspx,,10079,A079,,河北,,,,华北电力大学(保定),华北电力大学(保定)
华北理工大学,http://zsjyc.ncst.edu.cn/col/1589180017916/index.html,4113010081,10081,A081,河北省,河北,唐山市,本科,,华北理工大学,华北理工大学
河北科技大学,https://bkzs.hebust.edu.cn/,4113010082,10082,A082,河北省,河北,石家庄市,本科,,河北科技大学,河北科技大学
河北建筑工程学院,http://zs.hebiace.edu.cn/,4113010084,10084,A084,河北省,河北,张家口市,本科,,河北建筑工程学院,河北建筑工程学院
河北水利电力学院,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-74.dhtml,4113010085,10085,A085,河北省,河北,沧州市,本科,,河北水利电力学院,河北水利电力学院
河北医科大学,https://zsb.hebmu.edu.cn/,4113010089,10089,A089,河北省,河北,石家庄市,本科,,河北医科大学,河北医科大学
河北北方学院,https://zs.hebeinu.edu.cn/,4113010092,10092,A092,河北省,河北,张家口市,本科,,河北北方学院,河北北方学院
承德医学院,http://www.cdmc.edu.cn/,4113010093,10093,A093,河北省,河北,承德市,本科,,承德医学院,承德医学院
河北师范大学,http://zsjyc.hebtu.edu.cn/zsw,4113010094,10094,A094,河北省,河北,石家庄市,本科,,河北师范大学,河北师范大学
保定学院,https://zsxx.bdu.edu.cn/,4113010096,10096,A096,河北省,河北,保定市,本科,,保定学院,保定学院
河北民族师范学院,http://www.hbun.edu.cn,4113010098,10098,A098,河北省,河北,承德市,本科,,河北民族师范学院,河北民族师范学院
唐山师范学院,https://zsjy.tstc.edu.cn/,4113010099,10099,A099,河北省,河北,唐山市,本科,,唐山师范学院,唐山师范学院
廊坊师范学院,http://www.lfnu.edu.cn/,4113010100,10100,A100,河北省,河北,廊坊市,本科,,廊坊师范学院,廊坊师范学院
衡水学院,https://zhaosheng.hsnc.edu.cn/,4113010101,10101,A101,河北省,河北,衡水市,本科,,衡水学院,衡水学院
石家庄学院,http://xsc.sjzc.edu.cn/zsgz.html,4113010102,10102,A102,河北省,河北,石家庄市,本科,,石家庄学院,石家庄学院
邯郸学院,http://dept.hdc.edu.cn/zsxxw,4113010103,10103,A103,河北省,河北,邯郸市,本科,,邯郸学院,
邢台学院,http://zsjy.xttc.edu.cn/,4113010104,10104,A104,河北省,河北,邢台市,本科,,邢台学院,邢台学院
沧州师范学院,http://www.caztc.edu.cn/,4113010105,10105,A105,河北省,河北,沧州市,本科,,沧州师范学院,沧州师范学院
石家庄铁道大学,http://zs.stdu.edu.cn,4113010107,10107,A107,河北省,河北,石家庄市,本科,,石家庄铁道大学,石家庄铁道大学
燕山大学,https://zsjyc.ysu.edu.cn/bkszsxxw/wzsy.htm,4113010216,10216,A216,河北省,河北,秦皇岛市,本科,,燕山大学,燕山大学
河北科技师范学院,http://zhaosheng.hevttc.edu.cn,4113010798,10798,A798,河北省,河北,秦皇岛市,本科,,河北科技师范学院,河北科技师范学院
唐山学院,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-688.dhtml,4113011033,11033,B033,河北省,河北,唐山市,本科,,唐山学院,唐山学院
邯郸职业技术学院,http://www.hdvtc.edu.cn,4113011034,11034,,河北省,河北,邯郸市,专科,,,
华北科技学院,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-730.dhtml,4113011104,11104,B104,应急管理部,河北,廊坊市,本科,,华北科技学院,华北科技学院
中国人民警察大学,http://www.cppu.edu.cn,4113011105,11105,B105,公安部,河北,廊坊市,本科,,中国人民警察大学,中国人民警察大学
河北体育学院,http://zsxx.hepec.edu.cn,4113011236,11236,,河北省,河北,石家庄市,本科,,,
河北金融学院,http://news.hbfu.edu.cn/zsw,4113011420,11420,B420,河北省,河北,保定市,本科,,河北金融学院,河北金融学院
北华航天工业学院,https://zb.nciae.edu.cn,4113011629,11629,B629,河北省,河北,廊坊市,本科,,北华航天工业学院,北华航天工业学院
防灾科技学院,https://zjb.cidp.edu.cn/zswsy.htm,4113011775,11775,B775,中国地震局,河北,廊坊市,本科,,防灾科技学院,防灾科技学院
河北经贸大学,https://zhaosheng.heuet.edu.cn/index.jsp,4113011832,11832,B832,河北省,河北,石家庄市,本科,,河北经贸大学,河北经贸大学
中央司法警官学院,http://zs.cicp.edu.cn/,4113011903,11903,B903,司法部,河北,保定市,本科,,中央司法警官学院,
邢台医学高等专科学校,http://zhaosheng.xtmc.net/,4113012884,11964,,河北省,河北,邢台市,专科,,,
河北软件职业技术学院,https://www.hbsi.edu.cn/,4113012352,12352,,河北省,河北,保定市,专科,,,
河北建材职业技术学院,http://gaokao.chsi.com.cn/,4113012389,12389,,河北省,河北,秦皇岛市,专科,,,
河北政法职业学院,zhaosheng.helc.edu.cn,4113012408,12408,,河北省,河北,石家庄市,专科,,,
沧州职业技术学院,,4113012415,12415,,河北省,河北,沧州市,专科,,,
河北能源职业技术学院,http://www.hbnyxy.cn/,4113012418,12418,,河北省,河北,唐山市,专科,,,
石家庄铁路职业技术学院,www.sirt.edu.cn,4113012424,12424,,河北省,河北,石家庄市,专科,,,
秦皇岛职业技术学院,http://www.qvc.edu.cn/zhaosheng/,4113012773,12773,,河北省,河北,秦皇岛市,专科,,,
石家庄工程职业学院,http://www.sjzevc.com,4113012782,12782,,河北省教育厅,河北,石家庄市,专科,民办,,
石家庄城市经济职业学院,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listVerifedZszc.do,4113012783,12783,,河北省教育厅,河北,石家庄市,专科,民办,,
唐山工业职业技术学院,http://zsw.tsgzy.edu.cn/,4113012787,12787,,河北省,河北,唐山市,专科,,,
河北工程技术学院,https://gaokao.chsi.com.cn/,4113012796,12796,C796,河北省教育厅,河北,石家庄市,本科,民办,河北工程技术学院,河北工程技术学院
河北艺术职业学院,http://www.hebart.com/zsw/,4113012885,12885,,河北省,河北,石家庄市,专科,,,
河北旅游职业学院,http://lqcx.hbtvc.com/,4113012887,12887,,河北省,河北,承德市,专科,,,
石家庄财经职业学院,www.hebcj.cn,4113013070,13070,,河北省教育厅,河北,石家庄市,专科,民办,,
河北交通职业技术学院,www.hejtxy.edu.cn/zsxxw,4113013071,13071,,河北省,河北,石家庄市,专科,,,
河北化工医药职业技术学院,http://www.hebcpc.cn/zsw/index.htm,4113013072,13072,,河北省,河北,石家庄市,专科,,,
石家庄信息工程职业学院,http://zs.sjziei.edu.cn/zb/,4113013073,13073,,河北省,河北,石家庄市,专科,,,
河北对外经贸职业学院,http://www.hbiibe.edu.cn/,4113013074,13074,,河北省,河北,秦皇岛市,专科,,,
河北美术学院,www.hbafa.com,4113013075,13075,D075,河北省教育厅,河北,石家庄市,本科,民办,河北美术学院,
河北科技学院,www.hbkjxy.cn,4113013391,13391,D391,河北省教育厅,河北,保定市,本科,民办,河北科技学院,
保定电力职业技术学院,http://www.bddy.cn,4113013392,13392,,河北省,河北,保定市,专科,,,
河北机电职业技术学院,http://zs.hbjd.com.cn/,4113013393,13393,,河北省,河北,邢台市,专科,,,
石家庄邮电职业技术学院,http://www.sjzpc.edu.cn/zhaosheng/,4113013397,13397,,河北省,河北,石家庄市,专科,,,
河北外国语学院,,4113013402,13402,D402,河北省教育厅,河北,石家庄市,本科,民办,河北外国语学院,河北外国语学院
石家庄科技信息职业学院,,4113013403,13403,,河北省教育厅,河北,石家庄市,专科,民办,,
华北理工大学轻工学院,http://www.qgxy.cn/recr/,4113013408,13408,D408,河北省教育厅,河北,唐山市,本科,民办,华北理工大学轻工学院,华北理工大学轻工学院
河北师范大学汇华学院,http://huihua.hebtu.edu.cn/,4113013411,13411,D411,河北省教育厅,河北,石家庄市,本科,民办,河北师范大学汇华学院,河北师范大学汇华学院
河北经贸大学经济管理学院,http://jgxy.heuet.edu.cn,4113013414,13414,D414,河北省教育厅,河北,石家庄市,本科,民办,河北经贸大学经济管理学院,河北经贸大学经济管理学院
河北医科大学临床学院,https://lcxy.hebmu.edu.cn/,4113013415,13415,D415,河北省教育厅,河北,石家庄市,本科,民办,河北医科大学临床学院,河北医科大学临床学院
河北科技工程职业技术大学,http://zs.xpc.edu.cn/,4113016203,13417,F203,河北省,河北,邢台市,本科,,河北科技工程职业技术大学,
